STATE,COUNTY,STNAME,VOLOVERALLFEMALE1112ALL,VOLOVERALLFEMALE1112AA,VOLOVERALLFEMALE1112HISP,VOLOVERALLFEMALE1112OTHER,VOLOVERALLMALE1112ALL,VOLOVERALLMALE1112AA,VOLOVERALLMALE1112HISP,VOLOVERALLMALE1112OTHER,VOLOVERALLFEMALE1826ALL,VOLOVERALLFEMALE1826AA,VOLOVERALLFEMALE1826HISP,VOLOVERALLFEMALE1826OTHER,VOLOVERALLMALE1826ALL,VOLOVERALLMALE1826AA,VOLOVERALLMALE1826HISP,VOLOVERALLMALE1826OTHER,VOLLOWINCOMEFEMALE1112ALL,VOLLOWINCOMEFEMALE1112AA,VOLLOWINCOMEFEMALE1112HISP,VOLLOWINCOMEFEMALE1112OTHER,VOLLOWINCOMEMALE1112ALL,VOLLOWINCOMEMALE1112AA,VOLLOWINCOMEMALE1112HISP,VOLLOWINCOMEMALE1112OTHER,VOLLOWINCOMEFEMALE1826ALL,VOLLOWINCOMEFEMALE1826AA,VOLLOWINCOMEFEMALE1826HISP,VOLLOWINCOMEFEMALE1826OTHER,VOLLOWINCOMEMALE1826ALL,VOLLOWINCOMEMALE1826AA,VOLLOWINCOMEMALE1826HISP,VOLLOWINCOMEMALE1826OTHER,VOLLOWINSUREDFEMALE1112ALL,VOLLOWINSUREDFEMALE1112AA,VOLLOWINSUREDFEMALE1112HISP,VOLLOWINSUREDFEMALE1112OTHER,VOLLOWINSUREDMALE1112ALL,VOLLOWINSUREDMALE1112AA,VOLLOWINSUREDMALE1112HISP,VOLLOWINSUREDMALE1112OTHER,VOLLOWINSUREDFEMALE1826ALL,VOLLOWINSUREDFEMALE1826AA,VOLLOWINSUREDFEMALE1826HISP,VOLLOWINSUREDFEMALE1826OTHER,VOLLOWINSUREDMALE1826ALL,VOLLOWINSUREDMALE1826AA,VOLLOWINSUREDMALE1826HISP,VOLLOWINSUREDMALE1826OTHER,VOLOVERALLBOTH1112ALL,VOLOVERALLBOTH1112AA,VOLOVERALLBOTH1112HISP,VOLOVERALLBOTH1112OTHER,VOLOVERALLBOTH1826ALL,VOLOVERALLBOTH1826AA,VOLOVERALLBOTH1826HISP,VOLOVERALLBOTH1826OTHER,VOLLOWINCOMEBOTH1112ALL,VOLLOWINCOMEBOTH1112AA,VOLLOWINCOMEBOTH1112HISP,VOLLOWINCOMEBOTH1112OTHER,VOLLOWINCOMEBOTH1826ALL,VOLLOWINCOMEBOTH1826AA,VOLLOWINCOMEBOTH1826HISP,VOLLOWINCOMEBOTH1826OTHER,VOLLOWINSUREDBOTH1112ALL,VOLLOWINSUREDBOTH1112AA,VOLLOWINSUREDBOTH1112HISP,VOLLOWINSUREDBOTH1112OTHER,VOLLOWINSUREDBOTH1826ALL,VOLLOWINSUREDBOTH1826AA,VOLLOWINSUREDBOTH1826HISP,VOLLOWINSUREDBOTH1826OTHER,NORMOVERALLFEMALE1112ALL,NORMOVERALLFEMALE1112AA,NORMOVERALLFEMALE1112HISP,NORMOVERALLFEMALE1112OTHER,NORMOVERALLMALE1112ALL,NORMOVERALLMALE1112AA,NORMOVERALLMALE1112HISP,NORMOVERALLMALE1112OTHER,NORMOVERALLFEMALE1826ALL,NORMOVERALLFEMALE1826AA,NORMOVERALLFEMALE1826HISP,NORMOVERALLFEMALE1826OTHER,NORMOVERALLMALE1826ALL,NORMOVERALLMALE1826AA,NORMOVERALLMALE1826HISP,NORMOVERALLMALE1826OTHER,NORMLOWINCOMEFEMALE1112ALL,NORMLOWINCOMEFEMALE1112AA,NORMLOWINCOMEFEMALE1112HISP,NORMLOWINCOMEFEMALE1112OTHER,NORMLOWINCOMEMALE1112ALL,NORMLOWINCOMEMALE1112AA,NORMLOWINCOMEMALE1112HISP,NORMLOWINCOMEMALE1112OTHER,NORMLOWINCOMEFEMALE1826ALL,NORMLOWINCOMEFEMALE1826AA,NORMLOWINCOMEFEMALE1826HISP,NORMLOWINCOMEFEMALE1826OTHER,NORMLOWINCOMEMALE1826ALL,NORMLOWINCOMEMALE1826AA,NORMLOWINCOMEMALE1826HISP,NORMLOWINCOMEMALE1826OTHER,NORMLOWINSUREDFEMALE1112ALL,NORMLOWINSUREDFEMALE1112AA,NORMLOWINSUREDFEMALE1112HISP,NORMLOWINSUREDFEMALE1112OTHER,NORMLOWINSUREDMALE1112ALL,NORMLOWINSUREDMALE1112AA,NORMLOWINSUREDMALE1112HISP,NORMLOWINSUREDMALE1112OTHER,NORMLOWINSUREDFEMALE1826ALL,NORMLOWINSUREDFEMALE1826AA,NORMLOWINSUREDFEMALE1826HISP,NORMLOWINSUREDFEMALE1826OTHER,NORMLOWINSUREDMALE1826ALL,NORMLOWINSUREDMALE1826AA,NORMLOWINSUREDMALE1826HISP,NORMLOWINSUREDMALE1826OTHER,NORMOVERALLBOTH1112ALL,NORMOVERALLBOTH1112AA,NORMOVERALLBOTH1112HISP,NORMOVERALLBOTH1112OTHER,NORMOVERALLBOTH1826ALL,NORMOVERALLBOTH1826AA,NORMOVERALLBOTH1826HISP,NORMOVERALLBOTH1826OTHER,NORMLOWINCOMEBOTH1112ALL,NORMLOWINCOMEBOTH1112AA,NORMLOWINCOMEBOTH1112HISP,NORMLOWINCOMEBOTH1112OTHER,NORMLOWINCOMEBOTH1826ALL,NORMLOWINCOMEBOTH1826AA,NORMLOWINCOMEBOTH1826HISP,NORMLOWINCOMEBOTH1826OTHER,NORMLOWINSUREDBOTH1112ALL,NORMLOWINSUREDBOTH1112AA,NORMLOWINSUREDBOTH1112HISP,NORMLOWINSUREDBOTH1112OTHER,NORMLOWINSUREDBOTH1826ALL,NORMLOWINSUREDBOTH1826AA,NORMLOWINSUREDBOTH1826HISP,NORMLOWINSUREDBOTH1826OTHER
1,1,Alabama,846.4,161.2,28.8,634.4,838.8,174.4,30,812.4,2760,617.6,67.2,2134.4,2862.4,633.6,94.4,2680,1920.5,394.5,57,2920,1943,416,67,3706,,,,,,,,,,,,,,,,,,,,,,,,,858,166,26,36,674,145,20,22,,,,,,,,,,,,,,,,,0.006700747,0.008249124,0.000330629,0.00166113,0.006517312,0.008732738,0.000318776,0.001584089,0.004342066,0.006840736,0.00021786,0.000701262,0.00434744,0.007621009,0.000251463,0.000815993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006609029,0.008490931,0.000324702,0.001622609,0.004344753,0.007230873,0.000234661,0.000758628,,,,,,,,,,,,,,,,
1,3,Alabama,2550.4,264,157.6,2180.4,2609.6,288,141.2,2329.2,8699.2,1193.6,412.8,7110.4,9128,1444.8,572.8,8115.2,5906.5,703,326,9895,6114.5,811.5,355.5,10895,2023,670,280,1073,1908,471,68,1369,378,166,0,212,486,293,25,168,1319,403,230,686,257,0,20,237,2489,285,143,120,2082,300,141,90,1306,478,60,768,3931,1141,348,2442,864,459,25,380,1576,403,250,923,0.019252851,0.01453908,0.001805743,0.005721669,0.019084257,0.014622258,0.001765528,0.005104286,0.013472209,0.013777821,0.001379778,0.003295933,0.013371865,0.016168898,0.001920263,0.002923977,0.013285817,0.024538064,0,0.064636885,0.025700935,0.046222222,0.002306894,0.105404846,0.01341962,0.023744551,0.003894623,0.019615568,0.014392072,0.02337121,0.001151294,0.027429987,0.014487754,0.027722111,0,0.06002265,0.017453135,0.048206647,0.001120674,0.046447332,0.025250929,0.021928393,0.006685269,0.075679317,0.00761008,0,0.000934579,0.029299048,0.019168554,0.014580669,0.001785635,0.005412977,0.013422037,0.014973359,0.001650021,0.003109955,0.019493376,0.035380143,0.001153447,0.085020866,0.013905846,0.023557881,0.002522958,0.023522778,0.015970445,0.037964379,0.000560337,0.053234991,0.016430504,0.010964196,0.003809924,0.052489183
1,5,Alabama,318,171.6,17.2,132,322.4,174.4,16,299.6,1198.4,723.2,28.8,676.8,1708.8,995.2,36.8,1163.2,772,440.5,30.5,753,937,529,31.5,1476,,,,,,,,,,,,,,,,,,,,,,,,,324,178,15,7,362,206,22,10,,,,,,,,,,,,,,,,,0.002469524,0.009074036,0.000203464,0.000276855,0.002519424,0.009138911,0.000171649,0.00035202,0.001915231,0.007996917,0.000193653,0.000280505,0.002737747,0.012667353,0.000320044,0.000407997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002494474,0.009106474,0.000187556,0.000314437,0.002326489,0.010332135,0.000256848,0.000344251,,,,,,,,,,,,,,,,
1,7,Alabama,250.8,42,6.4,239.2,299.6,55.6,4.8,244,1043.2,249.6,8,809.6,1316.8,467.2,40,1033.6,639.5,130.5,10.5,1104,786,215.5,18.5,1256,,,,,,,,,,,,,,,,,,,,,,,,,283,55,6.00E+00,5,300,91,7.00E+00,5,,,,,,,,,,,,,,,,,0.002060558,0.002474737,7.63E-05,0.00018457,0.002293128,0.003147847,7.36E-05,0.000264015,0.001770933,0.003179497,2.42E-05,0.000140252,0.002091334,0.005973223,0.000137162,0.000203998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002176843,0.002811292,7.49E-05,0.000224292,0.001931134,0.00457636,8.07E-05,0.000172125,,,,,,,,,,,,,,,,
1,9,Alabama,795.2,13.6,112.4,670.8,792.4,14,107.6,682,2649.6,27.2,280,2401.6,2825.6,65.6,358.4,2364.8,1822,25.5,228,3178,1873.5,38,246.5,3183,,,,,,,,,,,,,,,,,,,,,,,,,812,14,104,25,662,12,80,15,,,,,,,,,,,,,,,,,0.006244593,0.000721798,0.001297083,0.001199705,0.006260843,0.000710804,0.001299625,0.001056059,0.004263357,0.000385394,0.000798819,0.00056101,0.004271392,0.000823893,0.001074433,0.000475996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006252718,0.000716301,0.001298354,0.001127882,0.004267375,0.000604643,0.000936626,0.000518503,,,,,,,,,,,,,,,,
1,11,Alabama,113.6,84,16.4,10,118.4,93.2,15.2,97.2,488,420.8,30.4,112,680,529.6,38.4,456,294.5,236.5,30,95,360.5,282,31,528,,,,,,,,,,,,,,,,,,,,,,,,,125,96,13,5,143,110,16,5,,,,,,,,,,,,,,,,,0.001006685,0.005052588,0.000178031,0.000276855,0.000920269,0.004772543,0.000147127,0.00017601,0.000826435,0.004913768,0.00014524,0.000140252,0.00101398,0.00607621,0.000228603,0.000203998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000963477,0.004912565,0.000162579,0.000226432,0.000920208,0.005494989,0.000186921,0.000172125,,,,,,,,,,,,,,,,
1,13,Alabama,256.8,140,3.6,128,297.2,164.8,4.4,249.6,950.4,531.2,3.2,424,945.6,505.6,16,940.8,618,341,5.5,585,667,364,10.5,1212,,,,,,,,,,,,,,,,,,,,,,,,,284,153,3.00E+00,9,242,132,5.00E+00,4,,,,,,,,,,,,,,,,,0.002139206,0.007321097,5.09E-05,0.00036914,0.002232783,0.008326564,2.45E-05,0.000440025,0.001652871,0.006744388,4.84E-05,0.000140252,0.001470271,0.00638517,6.86E-05,0.000135999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002185994,0.00782383,3.77E-05,0.000404582,0.001561571,0.006564779,5.85E-05,0.000138126,,,,,,,,,,,,,,,,
1,15,Alabama,1438,346.4,75.2,1086.4,1516.8,352,78.4,1351.6,6846.4,2001.6,211.2,4369.6,6550.4,1896,284.8,6608,3937,1058.5,160,5447,3943,1032.5,187,7509,2471,949,147,1432,1344,468,0,876,456,165,29,262,463,309,43,154,806,536,57,270,227,82,0,145,1525,364,71,62,1777,506,69,47,1053,498,72,526,3815,1417,147,2308,919,474,72,416,1033,618,57,415,0.011765631,0.018457414,0.000890155,0.003045404,0.011722109,0.01878554,0.000882764,0.002552143,0.011898047,0.025532325,0.000750405,0.001753156,0.011027035,0.024819773,0.000868691,0.001495988,0.014942637,0.024833703,0.001148106,0.070127277,0.016650893,0.048888889,0.001653274,0.050735142,0.016755907,0.033632208,0.002044677,0.027059531,0.009548917,0.023222349,0,0.016524355,0.017477291,0.02755511,0.001371612,0.074178935,0.016627164,0.050839092,0.00192756,0.042576721,0.015114992,0.029165306,0.001656784,0.028969234,0.006721744,0.010878217,0,0.017925578,0.01174387,0.018621477,0.000886459,0.002798774,0.011462541,0.025176049,0.000809548,0.001624572,0.015796765,0.036861296,0.00140069,0.06043121,0.013152412,0.028427278,0.001022338,0.021791943,0.017052227,0.039197101,0.001649586,0.058377828,0.010918368,0.020021762,0.000828392,0.023447406
1,17,Alabama,385.2,170.8,10,225.2,424.8,189.6,10,372,1780.8,907.2,30.4,913.6,1705.6,752,40,1740.8,1038,497,22,1134,1064,472,25,2018,,,,,,,,,,,,,,,,,,,,,,,,,424,190,9,11,418,188,11,11,,,,,,,,,,,,,,,,,0.003193079,0.009280264,0.000101732,0.00055371,0.003334088,0.010154346,0.000122606,0.000440025,0.002715431,0.009442143,9.68E-05,0.000420757,0.002674373,0.009268795,0.000160022,0.000339997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003263583,0.009717305,0.000112169,0.000496867,0.002694902,0.009355469,0.000128424,0.000380377,,,,,,,,,,,,,,,,
1,19,Alabama,332.4,15.2,12,301.6,326.8,19.2,6,318,1067.2,22.4,22.4,1126.4,1222.4,73.6,22.4,1044.8,749,26,22,1458,790.5,47,14.5,1448,,,,,,,,,,,,,,,,,,,,,,,,,332,20,7,12,277,11,6.00E+00,6,,,,,,,,,,,,,,,,,0.00257963,0.000928026,0.000127165,0.00055371,0.00253451,0.001116978,4.90E-05,0.00052803,0.001744697,0.000385394,7.26E-05,0.000210379,0.001825164,0.000720906,6.86E-05,0.000203998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00255707,0.001022502,8.81E-05,0.00054087,0.001784931,0.00055315,7.06E-05,0.000207189,,,,,,,,,,,,,,,,
1,21,Alabama,618.8,68.8,69.2,463.6,604.8,68.4,72.8,545.2,2195.2,313.6,164.8,1712,2259.2,326.4,220.8,2016,1459.5,184,138,2229,1462,187.5,160,2623,,,,,,,,,,,,,,,,,,,,,,,,,610,68,66,20,541,68,50,12,,,,,,,,,,,,,,,,,0.004671648,0.003402763,0.000788423,0.00092285,0.004722034,0.003554021,0.000858243,0.000880049,0.003489394,0.003179497,0.000484133,0.000350631,0.003485557,0.003604531,0.000685808,0.000475996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004696841,0.003478392,0.000823333,0.00090145,0.003487476,0.003392014,0.00058497,0.000413314,,,,,,,,,,,,,,,,
1,23,Alabama,153.2,69.2,1.6,106,177.6,69.6,2,151.2,614.4,316.8,3.2,300.8,633.6,328,4.8,611.2,383.5,185.5,3,453,420,189.5,4,760,,,,,,,,,,,,,,,,,,,,,,,,,178,77,1,2.00E+00,146,76,1.00E+00,1.00E+00,,,,,,,,,,,,,,,,,0.001399921,0.004227676,0,9.23E-05,0.001342687,0.003655565,2.45E-05,8.80E-05,0.000944498,0.003468542,0,7.01E-05,0.000937932,0.004119464,2.29E-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001371304,0.00394162,1.23E-05,9.01E-05,0.000941215,0.003794003,1.14E-05,3.51E-05,,,,,,,,,,,,,,,,
1,25,Alabama,349.6,165.2,8,159.2,330,165.2,5.6,339.6,1304,668.8,14.4,625.6,1324.8,676.8,22.4,1284.8,844.5,415.5,14.5,789,826.5,418,14,1652,,,,,,,,,,,,,,,,,,,,,,,,,362,179,6.00E+00,6,294,152,4.00E+00,4,,,,,,,,,,,,,,,,,0.002925678,0.009486492,7.63E-05,0.000276855,0.002655201,0.008834281,7.36E-05,0.000264015,0.001915231,0.007515175,2.42E-05,0.000210379,0.001875863,0.007621009,6.86E-05,6.80E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00279044,0.009160387,7.49E-05,0.000270435,0.001895547,0.007568092,4.64E-05,0.000139189,,,,,,,,,,,,,,,,
